Name,order,SDG,target,Attachments (from SDG) (from target),Target description,Indicators,Type,Availability of data,Disaggregation level,Frequency of data,2020 Value,Remarks,SDGs interactions,SDGs interactions 2,Gaph 1,Graph 2,Graph 3,Graph 4,Graph 5,Graph 6,Graph 7,Resource Library,Multidimensional Poverty Assessment,Experts copy,Referential,I&D Indicators,LNOB Assessment copy,Social Inequalities copy,Sectoral Alignment with Targets (SAT) copy,Horizontal Policy Coherence (HPC) copy,Sustainability Accelerators Analysis (SAA) copy,Policy Intervention Analysis (PIA) Task,AllSDG-indicators,SAT-Task copy,SAT-Task copy,LPR-SI-Task,LPR-EI-Task,Africa Targets Benchmarking (ATB)
C110401,244,SDG 11,T0114,SDG11.png (https://dl.airtable.com/.attachments/78af9df0be8d2236b42e2db9eec398b2/ee534149/SDG11.png),11.4 Strengthen efforts to protect and safeguard the world’s cultural and natural heritage,"11.4.1 Total expenditure (public and private) per capita spent on the preservation, protection and conservation of all cultural and natural heritage, by type of heritage (cultural, natural, mixed and World Heritage Centre designation), level of government (national, regional and local/municipal), type of expenditure (operating expenditure/investment) and type of private funding (donations in kind, private non-profit sector and sponsorship)",Global SDG indicator,,,,,,""" - Analysis of interaction between 14.2 and 11.1, 11.3, 11.4, 11.5, 11.6"", - Analysis of interaction between 14.3 and 11.4",,,,,,,,,,,,,,,,,,,,,,,,,
C110501,245,SDG 11,T0115,SDG11.png (https://dl.airtable.com/.attachments/78af9df0be8d2236b42e2db9eec398b2/ee534149/SDG11.png),"11.5 By 2030, significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters, including water-related disasters, with a focus on protecting the poor and people in vulnerable situations","11.5.1 Number of deaths, missing persons and directly affected persons attributed to disasters per 100, 000 population",Global SDG indicator,,,,,,""" - Analysis of interaction between 14.2 and 11.1, 11.3, 11.4, 11.5, 11.6""",,https://ourworldindata.org/grapher/death-rates-from-disasters?region=Africa,https://ourworldindata.org/grapher/internally-displaced-persons-from-disasters?region=Africa,,,,,,,Environment,"Abdulmajid Abbas Danmaliki,Afef Ben Abda,""Melania Chiponda, PhD""",,,,,,,,,,,,,,
C110502,246,SDG 11,T0115,SDG11.png (https://dl.airtable.com/.attachments/78af9df0be8d2236b42e2db9eec398b2/ee534149/SDG11.png),"11.5 By 2030, significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters, including water-related disasters, with a focus on protecting the poor and people in vulnerable situations","11.5.2 Direct economic loss in relation to global GDP, damage to critical infrastructure and number of disruptions to basic services, attributed to disasters",Global SDG indicator,,,,,,,,https://ourworldindata.org/grapher/direct-disaster-loss-as-a-share-of-gdp?region=Africa,https://ourworldindata.org/grapher/global-disaster-losses-gdp-share,https://ourworldindata.org/grapher/economic-losses-from-disasters-share-gdp,,,,,,,"""Melania Chiponda, PhD""",,,,,,,,,,,,,,
C110601,247,SDG 11,T0116,SDG11.png (https://dl.airtable.com/.attachments/78af9df0be8d2236b42e2db9eec398b2/ee534149/SDG11.png),"11.6 By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities",Global SDG indicator,,,,,,""" - Analysis of interaction between 14.1 and 11.1, 11.3, 11.6"","" - Analysis of interaction between 14.2 and 11.1, 11.3, 11.4, 11.5, 11.6""",,https://ourworldindata.org/grapher/proportion-of-population-served-by-municipal-waste-collection,,,,,,,,"""Housing, living Standard & basic services""","""Melania Chiponda, PhD""",,Municipal Solid Waste (kg/day/capita),,,,,,SDN2021-CSSSPA-PIA-TSD,,,,,,
N110601,248,SDG 11,T0116,SDG11.png (https://dl.airtable.com/.attachments/78af9df0be8d2236b42e2db9eec398b2/ee534149/SDG11.png),"11.6 By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","Monthly average
concentration of Carbon Monoxide, Sulphur Dioxide, Nitrogen Dioxide,
and Particulate Matter in the air
",Additional indicator to be used as National measurement,,,,,,,,,,,,,,,,,,,Energy-related CO2 emissions per capita (tCO2/capita),,,,,,,,,,,,
N110602,249,SDG 11,T0116,SDG11.png (https://dl.airtable.com/.attachments/78af9df0be8d2236b42e2db9eec398b2/ee534149/SDG11.png),"11.6 By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management","Emission of pollutants to
the atmosphere by type
and source",Additional indicator to be used as National measurement,,,,,,,,,,,,,,,,,,,Production-based SO2 emissions (kg/capita),,,,,,,,,,,,
C110602,250,SDG 11,T0116,SDG11.png (https://dl.airtable.com/.attachments/78af9df0be8d2236b42e2db9eec398b2/ee534149/SDG11.png),"11.6 By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management",11.6.2 Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted),Global SDG indicator,,,,,,,,https://ourworldindata.org/grapher/PM25-air-pollution?region=Africa,,,,,,,,,"""Melania Chiponda, PhD""",,Annual mean concentration of particulate matter of less than 2.5 microns of diam (from SDG 11 Progress),,,,,,,,,,,,
C110701,251,SDG 11,T0117,SDG11.png (https://dl.airtable.com/.attachments/78af9df0be8d2236b42e2db9eec398b2/ee534149/SDG11.png),"11.7 By 2030, provide universal access to safe, inclusive and accessible, green and public spaces, in particular for women and children, older persons and persons with disabilities","11.7.1 Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Global SDG indicator,,,,,,,,,,,,,,,,"""Housing, living Standard & basic services""",,,,,,,,,,,,,,,
C110702,252,SDG 11,T0117,SDG11.png (https://dl.airtable.com/.attachments/78af9df0be8d2236b42e2db9eec398b2/ee534149/SDG11.png),"11.7 By 2030, provide universal access to safe, inclusive and accessible, green and public spaces, in particular for women and children, older persons and persons with disabilities","11.7.2 Proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months",Global SDG indicator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C110a01,253,SDG 11,T011a,SDG11.png (https://dl.airtable.com/.attachments/78af9df0be8d2236b42e2db9eec398b2/ee534149/SDG11.png),"11.a Support positive economic, social and environmental links between urban, peri-urban and rural areas by strengthening national and regional development planning","11.a.1 Proportion of population living in cities that implement urban and regional development plans integrating population projections and resource needs, by size of city",Global SDG indicator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C110B01,254,SDG 11,T011b,SDG11.png (https://dl.airtable.com/.attachments/78af9df0be8d2236b42e2db9eec398b2/ee534149/SDG11.png),"11.b By 2020, substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion, resource efficiency, mitigation and adaptation to climate change, resilience to disasters, and develop and implement, in line with the Sendai Framework for Disaster Risk Reduction 2015–2030, holistic disaster risk management at all levels",11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030,Global SDG indicator,,,,,,,,https://ourworldindata.org/grapher/countries-with-legislative-regulatory-provisions-for-managing-disaster-risk?region=Africa,,,,,,,,,,,,,,,,,,,,,,,
C110B02,255,SDG 11,T011b,SDG11.png (https://dl.airtable.com/.attachments/78af9df0be8d2236b42e2db9eec398b2/ee534149/SDG11.png),"11.b By 2020, substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion, resource efficiency, mitigation and adaptation to climate change, resilience to disasters, and develop and implement, in line with the Sendai Framework for Disaster Risk Reduction 2015–2030, holistic disaster risk management at all levels",11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,Global SDG indicator,,,,,,,,https://ourworldindata.org/grapher/local-govts-risk-reduction?region=Africa,,,,,,,,,,,,,,,,,,,,,,,
C110c01,256,SDG 11,T011c,SDG11.png (https://dl.airtable.com/.attachments/78af9df0be8d2236b42e2db9eec398b2/ee534149/SDG11.png),"11.c Support least developed countries, including through financial and technical assistance, in building sustainable and resilient buildings utilizing local materials","11.c.1 Proportion of financial support to the least developed countries that is allocated to the construction and retrofitting of sustainable, resilient and resource-efficient buildings utilizing local materials",Global SDG indicator,,,,,,""" - Analysis of interaction between 14.2, 14.5 and 11.c""",,,,,,,,,,,,,,,,,,,,,,,,,
C120101,257,SDG 12,T0121,SDG12.png (https://dl.airtable.com/.attachments/67f3329665d2fc0075a0a64b9f71de3a/31a050bd/SDG12.png),"12.1 Implement the 10‑Year Framework of Programmes on Sustainable Consumption and Production Patterns, all countries taking action, with developed countries taking the lead, taking into account the development and capabilities of developing countries",12.1.1 Number of countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or a target into national policies,Global SDG indicator,,,,,,""" - Analysis of interaction between 14.1 and 12.1, 12.2, 12.3, 12.4, 12.5""",,https://ourworldindata.org/grapher/country-scp-plan?region=Africa,,,,,,,,,"""Melania Chiponda, PhD""",,,,,,,,,,,,,,
C120201,258,SDG 12,T0122,SDG12.png (https://dl.airtable.com/.attachments/67f3329665d2fc0075a0a64b9f71de3a/31a050bd/SDG12.png),"12.2 By 2030, achieve the sustainable management and efficient use of natural resources","12.2.1 Material footprint, material footprint per capita, and material footprint per GDP",Global SDG indicator,,,,,,""" - Analysis of interaction between 14.1 and 12.1, 12.2, 12.3, 12.4, 12.5"","" - Analysis of interaction between 14.4 and 12.2, 12.3"","" - Analysis of interaction between 14.7 and 12.2, 12.3, 12.a""",,https://ourworldindata.org/grapher/material-footprint-per-capita,https://ourworldindata.org/grapher/material-footprint-per-unit-of-gdp,,,,,,,,"""Melania Chiponda, PhD""",,,,,,,,SDN2021-CSSSPA-PIA-TSD,,,,,,
C200202,259,SDG 12,T0122,SDG12.png (https://dl.airtable.com/.attachments/67f3329665d2fc0075a0a64b9f71de3a/31a050bd/SDG12.png),"12.2 By 2030, achieve the sustainable management and efficient use of natural resources","12.2.2 Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP",Global SDG indicator,,,,,,,,https://ourworldindata.org/grapher/domestic-material-consumption-per-capita?region=Africa,https://ourworldindata.org/grapher/domestic-material-consumption-per-unit-of-gdp?region=Africa,,,,,,,,"""Melania Chiponda, PhD""",,,,,,,,,,,,,,
C120301,260,SDG 12,T0123,SDG12.png (https://dl.airtable.com/.attachments/67f3329665d2fc0075a0a64b9f71de3a/31a050bd/SDG12.png),"12.3 By 2030, halve per capita global food waste at the retail and consumer levels and reduce food losses along production and supply chains, including post-harvest losses",12.3.1 (a) Food loss index and (b) food waste index,Global SDG indicator,,,,,,""" - Analysis of interaction between 14.1 and 12.1, 12.2, 12.3, 12.4, 12.5"","" - Analysis of interaction between 14.4 and 12.2, 12.3"","" - Analysis of interaction between 14.7 and 12.2, 12.3, 12.a""",,,,,,,,,,,"Djibo Banaou,""Kwaku Asante, PhD""",,,,,,,,,,,,,,
C120401,261,SDG 12,T0124,SDG12.png (https://dl.airtable.com/.attachments/67f3329665d2fc0075a0a64b9f71de3a/31a050bd/SDG12.png),"12.4 By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.1 Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement",Global SDG indicator,,,,,,""" - Analysis of interaction between 14.1 and 12.1, 12.2, 12.3, 12.4, 12.5""",,https://ourworldindata.org/grapher/parties-to-multilateral-agreements-on-hazardous-wast,,,,,,,,,Emmanuel Diagbouga,,,,,,,,SDN2021-CSSSPA-PIA-TSD,,,,,,
C120402,262,SDG 12,T0124,SDG12.png (https://dl.airtable.com/.attachments/67f3329665d2fc0075a0a64b9f71de3a/31a050bd/SDG12.png),"12.4 By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.2 Hazardous waste generated per capita and proportion of hazardous waste treated, by type of treatment",Global SDG indicator,,,,,,,,,,,,,,,,,Emmanuel Diagbouga,,,,,,,,,,,,,,
